language.English|language.hlCode|language.google|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23|topic.24|topic.25|topic.26|topic.27|topic.28|topic.29|topic.30|topic.31|topic.32|topic.33|topic.34|topic.35|topic.36|topic.37|topic.38|topic.39|topic.40|topic.41|topic.42|topic.43|topic.44|topic.45|topic.46|topic.47|topic.48|topic.49|topic.50|topic.51|topic.52|topic.53|topic.54|topic.55|topic.56|topic.57|topic.58|topic.59|topic.60|topic.61|menu.see|menu.watch|menu.select|question.1|question.2|question.3|question.4|question.5|menu.other_videos
Twig|Twig|Twig|the_beginning|the_birth_of_jesus|the_childhood_of_jesus|the_baptism_of_jesus_by_john|the_devil_tempts_jesus|jesus_proclaims_fulfillment_and_is_rejected|jesus_parable_pharisee_and_tax_collector|jesus_miracle_catch_of_fish|jesus_brings_jairus_daughter_back_to_life|jesus_chooses_disciples|jesus_beatitudes|jesus_sermon_on_the_mount|blessed_are_those_who_hear_and_obey|jesus_forgives_sinful_woman|women_disciples_of_jesus|john_the_baptist_in_prison|jesus_parable_of_the_sower_and_seed|jesus_parable_of_the_lamp|jesus_calms_the_storm|jesus_heals_demoniac|jesus_feeds_5000|peter_declares_jesus_christ|jesus_transfiguration|jesus_heals_boy_from_evil_spirit|the_lords_prayer|jesus_teaches_about_prayer_and_faith|woe_to_those_who_cause_to_sin|kingdom_of_god_as_mustard_seed|jesus_spends_time_with_sinners|healing_sabbath_of_woman_crippled_by_evil_spirit|parable_of_good_samaritan|healing_of_bartimaeus|jesus_and_zaccheus|jesus_predicts_death_and_resurrection|jesus_triumphal_entry_palm_sunday|jesus_weeps_over_jerusalem|jesus_drives_out_money_changers|widows_offering|annas_questions_authority_of_jesus|jesus_parable_vineyard_and_tenants|paying_taxes_to_caesar|the_last_supper|jesus_upper_room_teaching|judas_betrays_and_jesus_is_arrested|peter_disowns_jesus_three_times|guards_mock_and_council_questions_jesus|jesus_brought_to_pilate|jesus_brought_to_herod|jesus_whipped_and_sentenced_to_death|jesus_carries_cross_via_dolorosa|jesus_is_crucified|soldiers_gamble_for_clothes|sign_on_cross_king_of_jews|crucified_convicts_lost_and_saved|death_of_jesus|joseph_arimathea_and_burial_of_jesus|angels_at_the_tomb|tomb_of_jesus_is_empty|resurrected_jesus_appears_to_disciples|jesus_great_commission_and_ascension|invitation_to_know_jesus_personally|see_what_jesus_said|watch_the_jesus_film|select_segment|about_jesus_question|about_god_question|about_people_question|difference_in_life_question|five_people_to_share_question|other_videos
English|eng00|en|The Beginning|The Birth of Jesus|The Childhood of Jesus|The Baptism of Jesus by John|The Devil Tempts Jesus|Jesus Proclaims His Fulfillment of Scripture and Is Rejected|Jesus' Parable of the Pharisee and Tax Collector|Jesus' Miracle Catch of Fish|Jesus Brings Jairus' Dead Daughter Back to Life|Jesus Chooses His Disciples|Beatitudes of Jesus|Sermon on the Mount of Jesus|Blessed Are Those Who Hear and Obey|Jesus Forgives Sinful Woman|Women Disciples of Jesus|John the Baptist in Prison|Jesus' Parable of the Sower and the Seed|Jesus' Parable of the Lamp|Jesus Calms the Storm|Jesus Heals Demoniac|Jesus Feeds the 5,000|Peter Declares Jesus to be the Christ|Jesus' Transfiguration|Jesus Heals Boy From Evil Spirit|The Lord's Prayer|Jesus Teaches About Prayer and Faith|Woe to Those Who Cause Others to Sin|The Kingdom of God as a Mustard Seed|Jesus Spends Time With Sinners|Healing on Sabbath of Woman Crippled by Evil Spirit|Parable of the Good Samaritan|Healing of the Blind Beggar, Bartimaeus|Jesus and Zaccheus|Jesus Predicts His Death and Resurrection|Jesus' Triumphal Entry-Palm Sunday|Jesus Weeps Over Jerusalem|Jesus Drives Out Money-Changers From the Temple|Widow's Offering|Annas Questions Authority of Jesus|Jesus' Parable of the Vineyard & Tenants|Paying Taxes to Caesar|The Last Supper|Jesus' Upper Room Teaching|Judas Betrays Jesus; Jesus Is Arrested|Peter Disowns Jesus Three Times|Guards Mock Jesus; Jesus Questioned by Religious Council|Jesus Is Brought to Pilate|Jesus Is Brought to Herod|Jesus Is Whipped & Sentenced to Death|Jesus Carries His Cross; Via Dolorosa|Jesus Is Crucified|Soldiers Gamble for Jesus' Clothes|Sign on the Cross: King of the Jews|Crucified Convicts Lost and Saved|Death of Jesus|Joseph of Arimathea and the Burial of Jesus|Angels at the Tomb|Tomb of Jesus Is Empty|Resurrected Jesus Appears to His Disciples|Jesus Gives Great Commission and Ascends to Heaven|Invitation to Know Jesus Personally|See what Jesus said|Watch the JESUS film|Select segment|What does this tell you about Jesus?|What does this tell you about God?|What does this tell you about people?|If this is true, what difference would it make in your life?|Who are five people you can share your discoveries with?|Other Videos
Afrikaans|afk00|af|Die Begin|Die Geboorte van Jesus|Die kinderjare van Jesus|Die doop van Jesus deur Johannes|Die Duiwel versoek Jesus|Jesus verkondig sy vervulling van die Skrif en word verwerp|Jesus se gelykenis van die Fariseër en tollenaar|Jesus se wonderwerk vang van vis|Jesus bring Jaïrus se dooie dogter weer lewendig|Jesus kies sy dissipels|Saligsprekinge van Jesus|Bergpredikasie van Jesus|Geseënd is die wat hoor en gehoorsaam|Jesus vergewe sondige vrou|Vroue-dissipels van Jesus|Johannes die Doper in die tronk|Jesus se gelykenis van die saaier en die saad|Jesus se gelykenis van die lamp|Jesus maak die storm stil|Jesus genees demoniese|Jesus voed die 5 000|Petrus verklaar dat Jesus die Christus is|Jesus se Transfigurasie|Jesus genees seun van bose gees|Die Onse Vader|Jesus leer oor gebed en geloof|Wee hulle wat ander laat sondig|Die Koninkryk van God as 'n Mosterdsaad|Jesus spandeer tyd saam met sondaars|Genesing op Sabbat van vrou wat deur die bose gees kreupel is|Gelykenis van die barmhartige Samaritaan|Genesing van die blinde bedelaar, Bartimeus|Jesus en Saggeus|Jesus voorspel sy dood en opstanding|Jesus se triomfantelike toetrede-Palmsondag|Jesus huil oor Jerusalem|Jesus verdryf geldwisselaars uit die tempel|Weduwee se offer|Annas Vrae Gesag van Jesus|Jesus se gelykenis van die wingerd en huurders|Betaal belasting aan Caesar|Die Laaste Avondmaal|Jesus se Bokamer Onderrig|Judas verraai Jesus; Jesus word gearresteer|Petrus verloën Jesus drie keer|Wagte Bespot Jesus; Jesus ondervra deur Godsdienstige Raad|Jesus word na Pilatus gebring|Jesus word na Herodes gebring|Jesus word geslaan en tot die dood veroordeel|Jesus Dra Sy Kruis; Via Dolorosa|Jesus is gekruisig|Soldate dobbel vir Jesus se klere|Teken aan die kruis: Koning van die Jode|Gekruisigde veroordeeldes verlore en gered|Dood van Jesus|Josef van Arimatea en die begrafnis van Jesus|Engele by die graf|Graf van Jesus is leeg|Opgestane Jesus verskyn aan sy dissipels|Jesus gee groot opdrag en vaar op na die hemel|Uitnodiging om Jesus persoonlik te ken|Kyk wat Jesus gesê het|Kyk na die JESUS-film|Kies segment|Wat sê dit vir jou van Jesus?|Wat sê dit vir jou van God?|Wat sê dit vir jou van mense?|As dit waar is, watter verskil sal dit in jou lewe maak?|Wie is vyf mense met wie jy jou ontdekkings kan deel?|Ander video's
Albanian|aln00|sq|Fillimi|Lindja e Jezusit|Fëmijëria e Jezusit|Pagëzimi i Jezusit nga Gjoni|Djalli tundon Jezusin|Jezusi shpall Përmbushjen e Tij të Shkrimit dhe Refuzohet|Shëmbëlltyra e Jezusit për fariseun dhe taksambledhësin|Kapja mrekulli e Jezusit e peshkut|Jezusi e kthen në jetë vajzën e vdekur të Jairit|Jezusi Zgjedh Dishepujt e Tij|Lumturitë e Jezusit|Predikimi në Malin e Jezusit|Lum ata që dëgjojnë dhe binden|Jezusi fal gruan mëkatare|Gra Dishepuj të Jezusit|Gjon Pagëzori në burg|Shëmbëlltyra e Jezusit për Mbjellësin dhe Farën|Shëmbëlltyra e Jezusit për llambën|Jezusi qetëson stuhinë|Jezusi Shëron Demonikun|Jezusi ushqen 5000|Pjetri deklaron se Jezusi është Krishti|Shpërfytyrimi i Jezusit|Jezusi shëron djalin nga shpirti i keq|Lutja e Zotit|Jezusi mëson rreth lutjes dhe besimit|Mjerë ata që i bëjnë të tjerët të mëkatojnë|Mbretëria e Zotit si një farë sinapi|Jezusi kalon kohë me mëkatarët|Shërimi në Sabatin e Gruas së Sakatuar nga Fryma e Ligë|Shëmbëlltyra e Samaritanit të Mirë|Shërimi i lypsit të verbër, Bartimaeus|Jezusi dhe Zakeu|Jezusi Parashikon Vdekjen dhe Ringjalljen e Tij|Hyrja Triumfale e Jezusit-E Diela e Palmës|Jezusi qan mbi Jerusalemin|Jezusi dëbon këmbyesit e parave nga tempulli|Oferta e vejushës|Ana Pyetje Autoriteti i Jezusit|Shëmbëlltyra e Jezusit për Vreshtin dhe Qiramarrësit|Pagimi i taksave ndaj Cezarit|Darka e Fundit|Mësimi i Jezusit në dhomën e sipërme|Juda tradhton Jezusin; Jezusi Arrestohet|Pjetri e mohon Jezusin tre herë|Rojet tallen me Jezusin; Jezusi u pyet nga Këshilli Fetar|Jezusi është sjellë te Pilati|Jezusi është sjellë te Herodi|Jezusi është fshikulluar dhe dënuar me vdekje|Jezusi Mban Kryqin e Tij; Nëpërmjet Dolorosa|Jezusi Është Kryqëzuar|Ushtarët luajnë bixhoz për rrobat e Jezusit|Shenjë në Kryq: Mbreti i Judenjve|Të dënuarit e kryqëzuar të humbur dhe të shpëtuar|Vdekja e Jezusit|Jozefi i Arimateas dhe varrimi i Jezusit|Engjëjt në varr|Varri i Jezusit është bosh|Jezusi i Ringjallur u shfaqet dishepujve të Tij|Jezusi jep Urdhër të madh dhe Ngjitet në Qiell|Ftesë për ta njohur Jezusin personalisht|Shihni çfarë tha Jezusi|Shikoni filmin JEZUSI|Zgjidhni segmentin|Çfarë ju thotë kjo për Jezusin?|Çfarë ju thotë kjo për Zotin?|Çfarë ju thotë kjo për njerëzit?|Nëse kjo është e vërtetë, çfarë ndryshimi do të kishte në jetën tuaj?|Cilët janë pesë personat me të cilët mund të ndani zbulimet tuaja?|Video të tjera
Amharic||am|ጅምር|የኢየሱስ መወለድ|የኢየሱስ ልጅነት|የኢየሱስ ጥምቀት በዮሐንስ|ዲያብሎስ ኢየሱስን ፈተነው|ኢየሱስ የቅዱሳት መጻሕፍትን ፍጻሜውን አውጇል እናም ውድቅ ተደረገ|ኢየሱስ ስለ ፈሪሳዊውና ስለ ቀራጭው ምሳሌ|የኢየሱስ ተአምር የዓሣ ማጥመድ|ኢየሱስ የሞተችውን የኢያኢሮስን ሴት ልጅ ወደ ሕይወት አመጣት።|ኢየሱስ ደቀ መዛሙርቱን መረጠ|የኢየሱስ ብስራት|ስብከት በኢየሱስ ተራራ|ሰምተው የሚታዘዙ ብፁዓን ናቸው።|ኢየሱስ ኃጢአተኛ ሴት ይቅር አለ።|የኢየሱስ ደቀ መዛሙርት ሴቶች|መጥምቁ ዮሐንስ በእስር ቤት|የሱስ ስለ ዘሪው እና ስለ ዘሩ የተናገረው ምሳሌ|የኢየሱስ የመብራት ምሳሌ|ኢየሱስ ማዕበሉን ያረጋጋል።|ኢየሱስ አጋንንትን ይፈውሳል|ኢየሱስ 5,000ዎቹን ይመግባል።|ጴጥሮስ ኢየሱስ ክርስቶስ መሆኑን ገለጸ|የኢየሱስ መገለጥ|ኢየሱስ ልጅን ከክፉ መንፈስ ፈውሷል|የጌታ ጸሎት|ኢየሱስ ስለ ጸሎትና እምነት አስተምሯል።|ሌሎችን ለኃጢአት ለሚያደርጉ ወዮላቸው|የእግዚአብሔር መንግሥት እንደ የሰናፍጭ ዘር|ኢየሱስ ከኃጢአተኞች ጋር ጊዜ አሳልፏል|በክፉ መንፈስ የአካል ጉዳተኛ የሆነች ሴት በሰንበት ቀን ፈውስ|የደጉ ሳምራዊ ምሳሌ|የዓይነ ስውራን ለማኝ ፈውስ በርጤሜዎስ|ኢየሱስ እና ዘኬዎስ|ኢየሱስ ስለ ሞቱ እና ትንሳኤው ተናግሯል።|የኢየሱስ የድል አድራጊ መግቢያ-ዘንባባ እሁድ|ኢየሱስ በኢየሩሳሌም ላይ አለቀሰ|ኢየሱስ ገንዘብ ለዋጮችን ከቤተ መቅደሱ አስወጣ|የመበለት ስጦታ|አናስ ጥያቄዎች የኢየሱስ ሥልጣን|ስለ ወይን ቦታ እና ተከራዮች የኢየሱስ ምሳሌ|ለቄሳር ግብር መክፈል|የመጨረሻው እራት|የኢየሱስ የላይኛው ክፍል ትምህርት|ይሁዳ ኢየሱስን አሳልፎ ሰጠ; ኢየሱስ ታሰረ|ጴጥሮስ ኢየሱስን ሦስት ጊዜ ክዷል|ጠባቂዎች ኢየሱስን ያፌዙበታል; ኢየሱስ በሃይማኖት ጉባኤ ተጠየቀ|ኢየሱስ ወደ ጲላጦስ ተወሰደ|ኢየሱስ ወደ ሄሮድስ ተወሰደ|ኢየሱስ ተገርፏል ሞት ተፈርዶበታል።|ኢየሱስ መስቀሉን ይሸከማል; በዶሎሮሳ በኩል|ኢየሱስ ተሰቀለ|ወታደሮች ለኢየሱስ ልብስ ቁማር ይጫወታሉ|በመስቀል ላይ ምልክት: የአይሁድ ንጉሥ|የተሰቀሉ ወንጀለኞች ጠፍተዋል እና ድነዋል|የኢየሱስ ሞት|የአርማትያሱ ዮሴፍ እና የኢየሱስ መቃብር|በመቃብር ላይ ያሉ መላእክት|የኢየሱስ መቃብር ባዶ ነው።|ከሞት የተነሳው ኢየሱስ ለደቀ መዛሙርቱ ተገለጠ|ኢየሱስ ታላቅ ተልእኮ ሰጠ እና ወደ ሰማይ አርጓል።|ኢየሱስን በግል የማወቅ ግብዣ|ኢየሱስ የተናገረውን ተመልከት|የኢየሱስን ፊልም ተመልከት|ክፍል ይምረጡ|ይህ ስለ ኢየሱስ ምን ይነግራችኋል?|ይህ ስለ እግዚአብሔር ምን ይነግራችኋል?|ይህ ስለ ሰዎች ምን ይነግርዎታል?|ይህ እውነት ከሆነ በህይወታችሁ ውስጥ ምን ለውጥ ያመጣል?|ግኝቶቻችሁን ማጋራት የምትችላቸው አምስት ሰዎች እነማን ናቸው?|ሌሎች ቪዲዮዎች
Arabic|arq00|ar|البداية|ولادة يسوع|طفولة يسوع|معمودية يسوع على يد يوحنا|الشيطان يجرب يسوع|يسوع يعلن إتمامه للكتاب المقدس ويتم رفضه|مثل يسوع عن الفريسي والعشار|معجزة صيد يسوع للسمك|يسوع يعيد ابنة يايرس الميتة إلى الحياة|يسوع يختار تلاميذه|تطويبات يسوع|الموعظة على جبل يسوع|طوبى لمن سمع وأطاع|يسوع يغفر للمرأة الخاطئة|النساء تلاميذ يسوع|يوحنا المعمدان في السجن|مثل يسوع عن الزارع والزرع|مثل يسوع عن المصباح|يسوع يهدئ العاصفة|يسوع يشفي الشيطاني|يسوع يطعم الخمسة آلاف|بطرس يعلن أن يسوع هو المسيح|تجلي يسوع|يسوع يشفي الصبي من الروح الشريرة|الصلاة الربانية|يسوع يعلم عن الصلاة والإيمان|الويل لمن يتسبب في إثم الآخرين|ملكوت الله مثل حبة الخردل|يسوع يقضي الوقت مع الخطاة|شفاء امرأة معوقة بالروح الشرير في يوم السبت|مثل السامري الصالح|شفاء المتسول الأعمى، بارتيماوس|يسوع وزكا|يسوع يتنبأ بموته وقيامته|دخول يسوع المنتصر – أحد الشعانين|يسوع يبكي على أورشليم|يسوع يُخرج الصيارفة من الهيكل|عطاء الأرملة|حنان يشكك في سلطة يسوع|مثل يسوع عن الكرم والمستأجرين|دفع الضرائب لقيصر|العشاء الأخير|تعليم يسوع في العلية|يهوذا يخون يسوع؛ القبض على يسوع|بطرس يتبرأ من يسوع ثلاث مرات|الحراس يسخرون من يسوع؛ استجواب يسوع من قبل المجلس الديني|أُحضر يسوع إلى بيلاطس|جلب يسوع إلى هيرودس|يُجلد يسوع ويُحكم عليه بالموت|يسوع يحمل صليبه؛ عبر الآلام|يسوع مصلوب|الجنود يقامرون من أجل ملابس يسوع|الإشارة على الصليب: ملك اليهود|المدانون المصلوبون فقدوا وخلصوا|موت يسوع|يوسف الرامة ودفن يسوع|الملائكة عند القبر|قبر يسوع فارغ|ظهور يسوع المقام لتلاميذه|يسوع يعطي مأمورية عظيمة ويصعد إلى السماء|دعوة لمعرفة يسوع شخصيا|انظر ماذا قال يسوع|شاهد فيلم يسوع|حدد المقطع|ماذا يخبرك هذا عن يسوع؟|ماذا يخبرك هذا عن الله؟|ماذا يخبرك هذا عن الناس؟|إذا كان هذا صحيحا، ما الفرق الذي سيحدثه في حياتك؟|من هم الأشخاص الخمسة الذين يمكنك مشاركة اكتشافاتك معهم؟|فيديوهات اخرى
Armenian|arm00|hy|Սկիզբը|Հիսուսի ծնունդը|Հիսուսի մանկությունը|Հիսուսի մկրտությունը Հովհաննեսի կողմից|Սատանան գայթակղում է Հիսուսին|Հիսուսը հռչակում է Սուրբ Գրքի Իր կատարումը և մերժվում է|Հիսուսի առակը փարիսեցու և հարկահավաքի մասին|Հիսուսի հրաշք ձուկ բռնելը|Հիսուսը կենդանացնում է Հայրոսի մահացած դստերը|Հիսուսն է ընտրում իր աշակերտներին|Հիսուսի երանությունները|Քարոզ Հիսուսի լեռան վրա|Երանի նրանց, ովքեր լսում և հնազանդվում են|Հիսուսը ներում է մեղավոր կնոջը|Հիսուսի կին աշակերտները|Հովհաննես Մկրտիչը բանտում|Հիսուսի առակը սերմանողի և սերմի մասին|Հիսուսի առակը ճրագի մասին|Հիսուսը հանգստացնում է փոթորիկը|Հիսուսը բուժում է դիվահարին|Հիսուսը կերակրում է 5000-ին|Պետրոսը Հիսուսին Քրիստոսն է հռչակում|Հիսուսի Պայծառակերպությունը|Հիսուսը բուժում է տղային չար ոգուց|Տերունական աղոթք|Հիսուսն ուսուցանում է աղոթքի և հավատքի մասին|Վայ նրանց, ովքեր ուրիշներին մեղք են գործում|Աստծո Թագավորությունը որպես մանանեխի հատիկ|Հիսուսը ժամանակ է անցկացնում մեղավորների հետ|Չար ոգուց հաշմանդամ կնոջ շաբաթ օրը բժշկություն|Բարի Սամարացու առակը|Բարտիմեուսի կույր մուրացկանի բժշկություն|Հիսուս և Զաքեոս|Հիսուսը կանխատեսում է իր մահը և հարությունը|Հիսուսի հաղթական մուտքը-Ծաղկազարդ|Հիսուսը լաց է լինում Երուսաղեմի վրա|Հիսուսը վանում է տաճարից փող փոխողներին|Այրիի ընծան|Աննասը հարցնում է Հիսուսի իշխանությունը|Հիսուսի առակը այգու և վարձակալների մասին|Կեսարին հարկեր վճարելը|Վերջին ընթրիք|Հիսուսի վերնատան ուսուցումը|Հուդան դավաճանում է Հիսուսին; Հիսուսը ձերբակալված է|Պետրոսը երեք անգամ ուրանում է Հիսուսին|Պահակները ծաղրում են Հիսուսին; Հիսուսին հարցնում են Կրոնական խորհրդի կողմից|Հիսուսին բերեցին Պիղատոսի մոտ|Հիսուսին բերեցին Հերովդեսի մոտ|Հիսուսին մտրակել են և դատապարտել մահվան|Հիսուսը կրում է իր խաչը; Դոլորոսայի միջոցով|Հիսուսը խաչված է|Զինվորները խաղում են Հիսուսի հագուստի համար|Նշան Խաչի վրա. Հրեաների թագավոր|Խաչված դատապարտյալները կորցրել և փրկվել են|Հիսուսի մահը|Հովսեփ Արիմաթեացին և Հիսուսի թաղումը|Հրեշտակներ գերեզմանի մոտ|Հիսուսի գերեզմանը դատարկ է|Հարություն առած Հիսուսը հայտնվում է իր աշակերտներին|Հիսուսը տալիս է մեծ հանձնարարություն և բարձրանում է երկինք|Հիսուսին անձամբ ճանաչելու հրավեր|Տեսեք, թե ինչ ասաց Հիսուսը|Դիտեք ՀԻՍՈՒՍ ֆիլմը|Ընտրեք հատվածը|Ի՞նչ է սա ձեզ ասում Հիսուսի մասին:|Ի՞նչ է սա ձեզ ասում Աստծո մասին:|Ի՞նչ է սա ձեզ ասում մարդկանց մասին:|Եթե ​​դա ճշմարիտ է, ի՞նչ տարբերություն այն կբերի ձեր կյանքում:|Ովքե՞ր են հինգ մարդիկ, որոնց հետ կարող եք կիսվել ձեր բացահայտումներով:|Այլ տեսանյութեր
|aze00|az|Başlanğıc|İsanın Doğulması|İsanın Uşaqlığı|İsanın Yəhya tərəfindən Vəftiz edilməsi|İblis İsanı Aldadır|İsa Müqəddəs Yazıları yerinə yetirdiyini bəyan edir və rədd edilir|İsanın fərisey və vergiyığan haqqında məsəli|İsanın möcüzəli balıq tutması|İsa Yairin Ölən Qızını Həyata qaytarır|İsa Öz şagirdlərini seçir|İsanın mərhəmətləri|İsa dağında xütbə|Eşidənlər və itaət edənlər nə bəxtiyardır|İsa günahkar qadını bağışlayır|İsanın qadın şagirdləri|Həbsxanada Vəftizçi Yəhya|İsanın Əkinçi və Toxum haqqında məsəli|İsanın çıraq haqqında məsəli|İsa Fırtınanı sakitləşdirir|İsa şeytanı sağaldır|İsa 5000 nəfəri yedizdirir|Peter İsanın Məsih olduğunu bəyan edir|İsanın Transfiqurasiyası|İsa Oğlanı Şər Ruhdan Sağaldır|Rəbbin duası|İsa dua və iman haqqında öyrədir|Vay halına Başqalarını Günah Etdirənlərin|Xardal toxumu kimi Allahın Padşahlığı|İsa günahkarlarla vaxt keçirir|Pis Ruh tərəfindən şikəst olan qadının şənbə günü sağalması|Yaxşı Samariyalı haqqında məsəl|Kor dilənçinin sağalması, Bartimaeus|İsa və Zakkay|İsa Öz ölümünü və dirilməsini proqnozlaşdırır|İsanın Zəfər Girişi - Palm Bazar günü|İsa Yerusəlimin üstündə ağlayır|İsa pul dəyişdirənləri məbəddən qovdu|Dul Təklifi|Annas İsanın Səlahiyyətini Sual edir|İsanın üzüm bağı və kirayəçilər haqqında məsəli|Sezara vergi ödəmək|Son Şam yeməyi|İsanın Yuxarı Otaqdakı Tədrisi|Yəhuda İsaya xəyanət edir; İsa Həbs olunur|Peter üç dəfə İsadan imtina etdi|Mühafizəçilər İsaya istehza edir; İsa Dini Şura tərəfindən sorğulandı|İsa Pilatın yanına gətirilir|İsa Hirodun yanına gətirilir|İsa Çırpılır və Ölümə Məhkum olunur|İsa çarmıxını daşıyır; Dolorosa vasitəsilə|İsa çarmıxa çəkilir|Əsgərlər İsanın paltarı üçün qumar oynayırlar|Xaçda işarə: Yəhudilərin Kralı|Çarmıxa çəkilmiş Məhkumlar İtirilmiş və Xilas edilmişdir|İsanın ölümü|Arimateyalı Yusif və İsanın dəfni|Məzarda mələklər|İsanın məzarı Boşdur|Dirilən İsa Öz Şagirdlərinə Görünür|İsa Böyük Tapşırıq verir və Cənnətə yüksəlir|İsanı şəxsən tanımağa dəvət|Görün İsa nə dedi|İSA filminə baxın|Seqment seçin|Bu sizə İsa haqqında nə deyir?|Bu sizə Allah haqqında nə deyir?|Bu sizə insanlar haqqında nə deyir?|Əgər bu doğrudursa, həyatında nə fərqi olacaq?|Kəşflərinizi bölüşə biləcəyiniz beş insan kimlərdir?|Digər Videolar
Assamese||as||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Aymara||ay||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
